eval,pooled,static,passed,obj,x0,x1,x2,x3,x4,x5,x6,x7
135,42.9130,40.0840,0,-57.0870,2.61783,0.48226,-0.72671,0.17153,0.13721,0.21093,0.26402,-0.57657
136,43.5990,42.5100,0,-56.4010,2.30198,0.22616,0.70963,-0.28017,1.03601,0.16181,-0.03937,-0.81129
137,43.9860,40.7080,0,-56.0140,1.63789,0.41171,-0.94119,-0.42948,0.39193,0.11399,-0.83590,0.22559
138,43.0970,40.4470,0,-56.9030,0.99670,0.38384,0.31234,0.02794,1.20245,0.16389,0.43488,-0.51168
139,43.7700,40.9150,0,-56.2300,1.51319,0.38782,-0.61300,-0.51002,0.73088,0.17934,0.48929,0.18589
140,43.2750,43.1170,0,-56.7250,2.45715,0.16820,0.52199,0.88042,0.38974,0.17502,0.66649,-0.91640
141,43.0160,41.1820,0,-56.9840,2.16357,0.36154,-0.20965,0.18895,0.65425,-0.10318,0.33608,0.15204
142,44.3340,44.5680,1,44.3340,0.72629,0.01878,-0.14353,0.44941,0.19515,0.09535,0.41270,0.74371
143,43.7140,41.5550,0,-56.2860,0.92565,0.30867,0.87912,0.21161,0.35244,0.22445,-0.62094,0.00828
144,43.2180,44.5770,1,43.2180,1.28593,-0.17697,-0.20103,0.22795,0.51179,0.29015,-0.61718,-0.05659
145,43.9840,44.8170,1,43.9840,1.76677,-0.11377,0.55890,0.49145,0.77962,0.03926,0.36368,0.03205
146,44.2150,42.8170,0,-55.7850,1.18031,0.20907,-0.43291,-0.74699,0.13858,0.14246,-0.19533,0.33792
147,43.8510,41.4770,0,-56.1490,1.28482,0.33681,0.32202,0.14700,0.88095,0.05870,-0.71345,0.14032
148,44.3500,43.7060,1,44.3500,0.86789,0.09722,-0.11262,-0.35270,0.17236,-0.02245,0.00523,0.24720
149,43.2460,44.6990,1,43.2460,1.48085,-0.11415,-0.59520,-0.53713,0.75500,0.19478,0.76728,-0.27734
150,43.7800,38.0460,0,-56.2200,0.85327,0.54275,0.66409,0.99501,0.69102,-0.02602,0.27406,-0.86375
151,42.9570,44.0680,1,42.9570,2.57444,0.00311,0.49471,0.88908,0.78571,0.21818,0.22976,-0.59042
152,43.6200,38.7840,0,-56.3800,1.20941,0.43143,0.92011,-0.92816,0.80112,0.02273,-0.79037,-0.69193
153,43.5930,44.1010,1,43.5930,2.31690,0.02034,-0.13943,-0.08720,0.54894,0.08140,0.90809,-0.61655
154,44.1820,44.6170,1,44.1820,0.51101,-0.12919,0.97417,-0.46187,0.26650,-0.04989,-0.36099,-0.11178
155,43.8900,39.6760,0,-56.1100,1.02313,0.44376,0.40506,0.59277,0.34938,0.09953,0.43058,-0.71519
156,42.6870,38.6200,0,-57.3130,1.16536,0.50705,-0.09362,0.09973,1.37431,0.01403,-0.31267,-0.00413
157,43.8770,42.9170,0,-56.1230,0.74713,0.12212,-0.35690,-0.75755,0.73509,-0.03645,0.82419,0.55727
158,43.2830,42.6060,0,-56.7170,2.42340,0.22405,-0.43407,0.07174,0.31164,0.23579,-0.22026,0.82552
159,44.0440,41.0570,0,-55.9560,0.50415,0.29384,-0.43401,0.07107,0.14148,0.12905,0.39551,-0.37136
160,43.2390,42.6580,0,-56.7610,1.32992,0.27228,-0.73410,0.71399,1.11872,-0.03247,-0.46859,-0.86097
161,43.9210,42.3570,0,-56.0790,0.90000,0.27473,-0.02979,0.52732,0.49461,0.21344,0.00000,-0.37803
162,43.2990,44.6480,1,43.2990,0.37829,-0.19847,-0.46864,-0.64164,0.26900,0.35332,0.33985,0.74376
163,43.6480,44.0770,1,43.6480,2.80410,-0.03479,0.79744,0.36388,0.22211,0.08814,0.70823,0.27268
164,43.0040,44.6690,1,43.0040,1.60327,-0.09126,0.06539,0.86331,0.25575,0.32454,0.24318,0.14104
165,44.4090,43.0700,0,-55.5910,1.51966,0.19654,0.16687,-0.74043,0.27551,0.10316,-0.18551,-0.07354
166,43.4130,41.5400,0,-56.5870,1.07605,0.30823,-0.46411,-0.60409,1.23040,0.07588,-0.05859,0.25353
167,44.1300,44.6950,1,44.1300,1.02140,-0.00623,-0.28159,-0.92356,0.62735,0.21304,-0.33299,-0.22551
